Company,Vendor
Nokia (formerly 'Alcatel-Lucent'),nokia
Calamp Wireless Networks Inc (formerly 'Dataradio Inc.'),calamp
DATEV eG,datev
Swisscom AG,swisscom
AS Yegen,ee
Thales Norway AS,thalesgroup
PT. Usaha Mediantara Intranet,spot
"Core Networks, Inc",ca
OMEGA Micro Systems,ca
Kwangwoon University,infotel
Quantum Corporation  (formerly 'Advanced Digital Information Corporation'),quantum
Department of Veterans Affairs,gov
Millenium Solutions,umn
"Lanier Worldwide, Inc.",lanier
BENQ Corporation,benq
Wuhan Research Institute of Posts and Telecommunications,163
Cyber Power System Inc.,cyberpower
"Edimax Technology Co., Ltd.",edimax
Touchbase Communications,aol
Schneider Electric,schneider-electric
ALPS Electric,alps
lkis,id
Citrix Systems Inc.,citrix
Elastic Networks,elastic
"Fujitsu Network Communications, Inc.",fujitsu
Canadian Marconi Company,marconi
"Thorne, West",aol
Telefonaktiebolaget LM Ericsson,ericsson
Next plc,next
Elder Enterprises,aol
Chicago Board of Trade,cbot
"Zhongxing Telecom Co.,ltd. (abbr. ZTE)",zte
Telenordia Internet,se
EasyAccess,netscape
Centro Cantonale d'Informatica,ti
EMS Technologies Canada Ltd.,ca
"Deccan Technologies, Inc.Vijay Burgula/Vik Jang",att
Solution Associates,ti
Bosch Sicherheitssysteme Engineering GmbH,bosch
"RealNetworks, Inc.",real
Quest Software Inc.,quest
Avery Computer Systems,aol
Innovative Technology Software Systems Ltd,aol
"VASCO Data Security International, Inc.",vasco
Open Systems AG,open
Ignitus Communications,lucent
Enator Telub AB,se
SowsEar Solution Design Group,netscape
Carioli Consulting Inc.,netscape
Fivemere Ltd.,cabletron
"Ellison Software Consulting, Inc.",ieee
Qeyton Systems AB,se
Krutulis Enterprises,ibm
Ericsson Research Montreal (LMC),ericsson
Wavetek Wandel Goltermann,wago
Redwood Technology B.V.,redwood
"Beijing Telecom Administration, China",gov
Hitachi America Ltd,hitachi
Siemens AG ICP Kornelius,siemens
ARM Ltd.,arm
Mnaccari@consulting,att
Tridium,tridium
UQAM | Université du Québec à Montréal,ca
Computer & Telephony Systems AB,se
"AKA Consulting, Inc.",att
Tennessee Valley Authority,gov
Siemens AG Automation & Drives,siemens
Cap Gemini Denmark A/S,capgemini
Soundscaipe,aol
Westfair Foods Ltd.,ca
Vodafone Information Systems GmbH,vodafone
Cinnabar Networks Inc.,ca
H.I.T. Industries Sales Ltd,aol
arvato systems GmbH,arvato
Kipling Information Technology AB,se
Open4Rent,aol
3rd Millennium Consulting,att
KenCast Inc.,kencast
Philips Consumer Electronics,philips
Kalki Communication Technologies Pvt Ltd,kalkitech
ETC (Excellence in Technology Consulting),aol
Consejo Superior de Camaras,es
Equinix,equinix
"Xilinx, Inc.",xilinx
Siemens AG,siemens
Bacteriophage Lambda,washington
Phoenix Contact GmbH & Co.,phoenixcontact
Tumbleweed Communications,tumbleweed
"Brocade Communications Systems, Inc. (formerly 'McDATA,Inc')",brocade
Tokyo DisneySea,disney
Elipse Software,elipse
Alcatel Altech Telecoms,alcatel
The Open Group,opengroup
Broadcom Limited,broadcom
Sony Online Entertainment,sony
Fujitsu Australia Software Technology Pty Ltd,fujitsu
Göteborg Energi AB,se
KARA,aol
MORION,pi
O ROCK Outerwear,yahoo
Radwin Ltd.,rad
"SVM Microwaves, s.r.o.",icom
MPB Communications Inc.,ca
Harmonic Video Network  (formerly 'Tadiran Scopus'),harmonicinc
